Name,Address,phone,fax,speciality,NpiNumber,lbn,dba,authOfficialName,entity,organizationSubpart,enumeratioDate,lastUpdated,identifiers
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 803 RUSSELL AVE GAITHERSBURG MD 20879-3584,301-869-0700,301-948-1751,Urgent Care,1164971461,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,09/27/2016,09/27/2016 - More than a year ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 215 NORTH 35TH STREET MILWAUKEE WI 53208-4106,414-931-7600,414-271-9951,Urgent Care,1174700058,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT/TREASURER),Organization,No,01/23/2008,02/25/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.,", 315 14TH AVE N NASHVILLE TN 37203-3416,615-321-5698,615-321-5538,"Clinic/Center,Urgent Care",1174750533,"AMERICAN CURRENT CARE, P.A.,",CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,06/12/2009,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 6048 MARSHA SHARP FWY LUBBOCK TX 79407-3726,806-745-2200,806-745-3267,Urgent Care,1174865190,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,03/18/2013,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1794 ZUMBEHL ROAD SAINT CHARLES MO 63303,636-947-1666,636-947-4182,Urgent Care,1174865695,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,03/22/2013,03/22/2013 - About 5 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 12651 VANCE JACKSON RD SUITE 114 SAN ANTONIO TX 78230-5959,210-762-3780,210-558-3752,Urgent Care,1194122499,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,12/02/2014,01/28/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 2531 ELM HILL PIKE NASHVILLE TN 37214,615-883-6995,615-883-3473,Urgent Care,1194914085,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,ROBERT HASSETT - (SENIOR VP / CHIEF MEDICAL OFFICER),Organization,No,10/17/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 15465 W HOWARD AVE NEW BERLIN WI 53151-5273,262-786-4422,262-786-5488,Urgent Care,1205013182,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT AND TREASURER),Organization,No,01/23/2008,02/03/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1498 BOARDWALK LEXINGTON KY 40511-1802,859-254-5520,859-255-8298,Urgent Care,1245586247,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT & TREASURER),Organization,No,07/27/2012,03/03/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 4060 SANDSHELL DRIVE FORT WORTH TX 76137,817-306-9777,817-306-9780,Urgent Care,1255520995,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/18/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 550 THORNTON PKWY STE. 110 THORNTON CO 80229-2100,720-872-0399,,Urgent Care,1275087694,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,08/15/2016,10/20/2016 - More than a year ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, PA", 12518 NE AIRPORT WAY SUITE 110 PORTLAND OR 97230-1078,503-256-2992,503-258-0717,Urgent Care,1275851073,"AMERICAN CURRENT CARE, PA",CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,05/04/2010,03/02/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 2403 S STEMMONS FWY SUITE 103 LEWISVILLE TX 75067-8976,972-829-2999,972-459-7929,Urgent Care,1275879157,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,12/20/2012,02/01/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 176 MAIN ST SUITE 2 NORWAY ME 04268-5643,207-743-7399,,Urgent Care,1285078311,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,04/19/2013,04/19/2013 - About 5 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 8505 GULF FWY SUITE F HOUSTON TX 77017,713-944-4442,713-944-4582,Urgent Care,1295924967,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/18/2007,01/26/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 1719 GALLATIN ROAD MADISON TN 37115-2123,615-870-0143,615-870-5524,Urgent Care,1316136294,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,ROBERT HASSETT - (SENIOR VP / CHIEF MEDICAL OFFICER),Organization,No,10/17/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1036 DUNN AVENUE SUITE 10-20 JACKSONVILLE FL 32218,904-757-5656,904-757-5650,"Urgent Care,Clinic/Center",1316139918,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,08/16/2007,03/17/2018 - About a month ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 3174 CUSTER DR SUITE 100 LEXINGTON KY 40517-4000,800-232-3550,,Urgent Care,1316293319,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,07/27/2012,07/27/2012 - About 6 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 2301 N UNIVERSITY AVE LUBBOCK TX 79415-1717,806-747-4400,806-747-3152,Urgent Care,1326308180,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,05/25/2012,06/08/2012 - About 6 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 3580 ATLANTA AVENUE HAPEVILLE GA 30354,404-768-3351,404-768-0842,"Urgent Care,Clinic/Center",1336331925,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,08/16/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 5850 SOUTH POLARIS ROAD SUITE 100 LAS VEGAS NV 89118-3185,702-739-9957,702-739-9370,Urgent Care,1346429388,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,10/26/2007,03/02/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A", 8799 N. LOOP EAST SUITE 110 HOUSTON TX 77029,713-674-1114,713-674-5169,Urgent Care,1346439023,"AMERICAN CURRENT CARE, P.A",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/18/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1347 S ANDREWS AVE FORT LAUDERDALE FL 33316-1837,954-767-9999,954-763-9828,Urgent Care,1366634172,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,08/15/2007,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 6423 COLUMBIA AVENUE UNIT A HAMMOND IN 46320-2747,219-937-3632,219-937-4715,Urgent Care,1376728667,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT / TREASURER),Organization,No,01/04/2008,01/13/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 2004 LEELAND HOUSTON TX 77003,713-223-0838,713-223-1310,Urgent Care,1376732040,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/18/2007,01/26/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 10909 I-10 EAST FWY HOUSTON TX 77029,713-675-4777,713-675-4336,Urgent Care,1417136979,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/31/2007,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 2084 N 1700 W SUITE D LAYTON UT 84041-1100,801-773-3400,801-773-3401,Urgent Care,1477090108,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (VICE PRESIDENT),Organization,No,01/19/2017,01/19/2017 - More than a year ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 9330 S UNIVERSITY BLVD STE 100 & 120 HIGHLANDS RANCH CO 80126-5065,800-232-3550,,Urgent Care,1477810307,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,04/17/2012,04/17/2012 - About 6 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 10820 ABBOTTS BRIDGE RD SUITE 3000 JOHNS CREEK GA 30097-5793,770-441-0444,770-449-7962,Urgent Care,1487090197,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,05/21/2013,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 4200 UNION DEPOSIT RD HARRISBURG PA 17111-2801,717-558-6708,717-558-6709,Urgent Care,1497185771,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,11/22/2013,02/09/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 6360 WEST SAM HOUSTON PARKWAY NORTH SUITE 200 HOUSTON TX 77041,713-280-0400,713-896-0702,Urgent Care,1508055278,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/18/2007,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1825 AIRPORT EXCHANGE BLVD SUITE 100 ERLANGER KY 41018-3900,859-647-6228,849-372-6350,Urgent Care,1518140045,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT & TREASURER),Organization,No,12/06/2007,03/17/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 9900 W BROAD ST SUITE C GLEN ALLEN VA 23060-6512,804-358-0361,804-358-4286,"Urgent Care,Clinic/Center",1518269620,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,"ROBERT HASSETT - (SVP, CHIEF MEDICAL OFFICER)",Organization,No,11/22/2010,02/09/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, PA", 6405 ROSEWOOD ST SUITE B LAKE OSWEGO OR 97035-5284,503-675-7603,503-675-7611,Urgent Care,1548588346,"AMERICAN CURRENT CARE, PA",CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,05/04/2010,03/02/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 8257 CENTER RUN RD INDIANAPOLIS IN 46250,317-567-6705,214-775-4502,Urgent Care,1568904407,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT / TREASURER),Organization,No,11/09/2016,11/09/2016 - More than a year ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 605 PARFET ST LAKEWOOD CO 80215-5576,800-232-3550,,Urgent Care,1578820403,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,04/17/2012,04/17/2012 - About 6 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 109 MINUS AVENUE SUITE C-10 GARDEN CITY GA 31408-2128,912-966-5445,912-966-5955,Urgent Care,1619166337,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,10/18/2007,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 2953 COBB PARKWAY SUITE 400 KENNESAW GA 30152,678-819-6880,678-819-6900,"Urgent Care,Clinic/Center",1669753992,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,08/31/2011,11/16/2012 - About 5 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 505 N PETERS RD KNOXVILLE TN 37922-7504,865-692-2920,,Urgent Care,1689012197,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,06/06/2013,06/06/2013 - About 5 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 358 JUNCTION ROAD MADISON WI 53717-2612,608-829-1888,608-829-2818,Urgent Care,1689851552,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT AND TREASURER),Organization,No,01/23/2008,02/03/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 4015 JEFFERSON HIGHWAY JEFFERSON LA 70121-1629,504-837-6447,504-833-8088,Urgent Care,1982887386,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,12/10/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE P.A., 5682 W SKELLY DRIVE TULSA OK 74107,918-446-1891,918-446-1894,"Clinic/Center,Health Service,Urgent Care",1295911451,AMERICAN CURRENT CARE P.A.,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,01/17/2008,01/26/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 1203-A MEMORIAL BLVD. MURFREESBORO TN 37129,615-895-4855,615-895-8939,Urgent Care,1295924173,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,ROBERT HASSETT - (SENIOR VP / CHIEF MEDICAL OFFICER),Organization,No,10/17/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 7519 RIVERS AVE NORTH CHARLESTON SC 29406-4662,843-735-5020,,Urgent Care,1306116496,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,01/05/2012,02/08/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 400 BALD HILL RD SUITE 511 WARWICK RI 02886-1617,401-737-4420,401-732-2763,"Urgent Care,Clinic/Center",1306147111,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (SVP / CHIEF MEDICAL OFFICER),Organization,No,11/10/2010,02/09/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1279 S WILLOW ST SUITE E MANCHESTER NH 03103-4015,603-644-3330,603-644-3332,Urgent Care,1336499482,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,09/17/2012,02/09/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 16505 W NATIONAL AVE NEW BERLIN WI 53151-5513,262-641-2300,262-641-2311,Urgent Care,1376046599,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (VP),Organization,No,03/14/2018,03/14/2018 - About a month ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1050 W 104TH AVE B NORTHGLENN CO 80234-3889,800-232-3550,,Urgent Care,1376800201,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,04/17/2012,04/17/2012 - About 6 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 6542 MANCHESTER AVE SAINT LOUIS MO 63139-3520,314-647-0081,314-647-5485,Urgent Care,1386081867,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,05/24/2013,05/24/2013 - About 5 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 10200 BROADWAY SUITE 200 SAN ANTONIO TX 78217,210-654-8787,210-654-3008,Urgent Care,1407045081,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/18/2007,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 3108 NE 181ST AVE PORTLAND OR 97230-6926,503-253-5695,503-253-5944,"Urgent Care,Clinic/Center",1417254749,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,02/23/2011,05/04/2015 - About 3 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE P.A., 1541 NORTH SHERIDAN ROAD TULSA OK 74115,918-836-5406,918-832-8618,"Clinic/Center,Urgent Care",1427234004,AMERICAN CURRENT CARE P.A.,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,01/14/2008,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 5007 S. HOWELL AVE MILWAUKEE WI 53207-6157,414-483-7777,414-483-7914,Urgent Care,1427235308,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT AND TREASURER),Organization,No,01/23/2008,02/03/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1368 SOUTHLAKE PROFESSIONAL PLAZA DR. MORROW GA 30260,678-422-8824,678-422-7291,"Urgent Care,Clinic/Center",1427237049,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,10/31/2007,11/16/2012 - About 5 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 7555 NW LOOP 410 SUITE 114 SAN ANTONIO TX 78245-2148,210-520-8070,210-521-7688,Urgent Care,1437597044,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,06/06/2013,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1147 WARWICK WAY RACINE WI 53406-5661,262-886-3997,262-886-1273,Urgent Care,1477730356,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (SENIOR VP / CHIEF MEDICAL OFFICER),Organization,No,01/23/2008,02/03/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1500 MOUNT ZION RD MORROW GA 30260-4155,678-422-8824,678-422-7291,Urgent Care,1477892768,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,02/06/2013,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 6410 S VIRGINIA ST RENO NV 89511-1103,775-322-5757,775-322-5776,Urgent Care,1487996054,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERRT HASSETT - (PRESIDENT),Organization,No,03/21/2013,03/02/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 400 E QUINCY ST SAN ANTONIO TX 78215-1934,210-472-0211,210-472-0214,Urgent Care,1497944011,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/19/2007,01/28/2016 - About 2 years ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A."," 2831 AIRWAYS BOULEVARD BUILDING A, SUITE 102 MEMPHIS TN 38132-1106",901-348-0200,615-870-5524,Urgent Care,1528257425,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,ROBERT HASSETT - (SENIOR VP / CHIEF MEDICAL OFFICER),Organization,No,10/17/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 5500 WEST BROWN DEER ROAD SUITE 400 MILWAUKEE WI 53223-2265,414-355-4300,414-355-4608,Urgent Care,1548503436,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,03/29/2013,02/16/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 11144 AURORA AVENUE URBANDALE IA 50322-7903,515-278-6868,515-278-1660,Urgent Care,1558544353,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,12/14/2007,02/16/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1830 YORK RD SUITES F-H TIMONIUM MD 21093-5115,410-252-4015,,Urgent Care,1568739191,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,11/28/2011,11/28/2011 - About 6 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 4455 MEDICAL CENTER WAY WEST PALM BEACH FL 33407-3244,561-881-0066,561-881-5533,Urgent Care,1578744702,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (SENIOR VP / CHIEF MEDICAL OFFICER),Organization,No,11/15/2007,04/21/2011 - About 7 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 83 PROGRESS PARKWAY MARYLAND HEIGHTS MO 63043-3701,314-434-8174,314-434-8706,Urgent Care,1578746707,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT AND TREASURER),Organization,No,12/11/2007,01/21/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 9299 EASTMAN PARK DRIVE WINDSOR CO 80550,970-674-0626,,"Urgent Care,Clinic/Center",1578848677,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,10/20/2011,10/20/2011 - About 6 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 2804 SOUTHAMPTON RD PHILADELPHIA PA 19154-1207,215-677-0930,214-775-4502,Urgent Care,1609320381,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT & TREASURER),Organization,No,08/10/2016,08/10/2016 - More than a year ago,n/a
"CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE, P.A.", 3453 NORTH HWY 35 SUITE 110 SAN ANTONIO TX 78219,210-226-7767,210-226-9656,Urgent Care,1619156106,"AMERICAN CURRENT CARE, P.A.",CONCENTRA URGENT CARE,"ROBERT HASSETT - (EVP, CMO)",Organization,No,10/31/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 6475 JIMMY CARTER BLVD SUITE 200 NORCROSS GA 30071,770-242-7744,770-368-0164,"Urgent Care,Clinic/Center",1629267349,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,10/18/2007,01/28/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 545 PLAINFIELD ROAD SUITE B WILLOWBROOK IL 60527,630-286-5300,630-986-1096,"Urgent Care,Clinic/Center",1659661783,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,04/11/2011,06/12/2013 - About 5 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 970 LOUCKS RD SUITE UNIT D YORK PA 17404-2273,717-764-1008,717-764-1017,Urgent Care,1669890695,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,"ROBERT HASSETT - (PRESIDENT, AUTHORIZED OFFICIAL)",Organization,No,04/07/2014,02/09/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 7 FAYETTE DRIVE UNIT 1 SOUTH BURLINGTON VT 05403,802-658-5756,802-865-0042,"Urgent Care,Clinic/Center",1689964736,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,"ROBERT HASSETT - (AVP, CREDENTIALING)",Organization,No,04/11/2011,02/09/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 6334 ROSWELL RD NE SUITE C SANDY SPRINGS GA 30328-3210,678-812-2277,678-812-2278,Urgent Care,1700143641,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,04/17/2012,01/26/2016 - About 2 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 2520 PILOT KNOB RD MENDOTA HEIGHTS MN 55120,651-224-8264,651-224-8265,"Urgent Care,Clinic/Center",1750679262,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,WILLIAM FOGARTY - (PRESIDENT),Organization,No,07/18/2011,07/18/2011 - About 7 years ago,n/a
CONCENTRA URGENT CARE LBN AMERICAN CURRENT CARE PA, 1300 N CENTRAL EXPRESSWAY PLANO TX 75074,972-578-2212,972-881-7666,Urgent Care,1760769616,AMERICAN CURRENT CARE PA,CONCENTRA URGENT CARE,ROBERT HASSETT - (PRESIDENT),Organization,No,11/07/2011,01/26/2016 - About 2 years ago,n/a
